ANZdiv,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,Q1,Q2,Q3,Q4,Q5,Q6,Q7,T6
Q,7.6617,14.8297,374.03070000000014,6.828099999999999,12.959,14.639700000000001,18.101399999999998,17.1845,46.5169,17.302599999999998,2428.0085999999997,17.4635,43.5272,58.4992,265.6791,209.7035,2367.9276999999997,16.0316,28.6146,66199.11349999999,123678.0,420.888,107.1468,0.0,0.0,810.3426,197181.0
R,32.7131,304.3822,146.3351,60.0479,520.2837999999999,335.2048,306.07989999999995,99.06660000000001,91.6012,721.2660000000001,284.6924,182.35180000000003,965.8246999999999,463.7243,408.7011,1649.0587,736.0949,3695.8928000000005,203.40120000000002,23739.3368,6859.4727,376.0595,36.3459,0.0,0.0,2139.0627,44357.0
S,745.5994,3994.3231,2730.3328000000006,979.6866,3026.6435,1182.662,961.4353,146.4991,5229.347699999999,1499.6465,744.7182999999999,493.2364,1734.4055,1054.9939,770.4961999999999,646.4595999999999,1924.5889,289.68190000000004,675.1571,36600.669499999996,808.0,151.6556,39.070600000000006,0.0,0.0,580.6912,67010.0
`P1,9033.0,24025.0,71138.0,13993.0,74953.0,45102.0,52215.0,31399.0,43852.0,19175.0,48617.0,19009.0,97267.0,56340.0,82225.0,80561.0,116687.0,9299.0,24005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918895.0
`P2,31240.0,159446.0,43229.0,30795.0,65169.0,24174.0,24046.0,10614.0,42034.0,23080.0,108194.0,175525.0,31825.0,8067.0,17679.0,10532.0,18678.0,6257.0,8625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839209.0
`P3,1347.2834999999998,617.4189,1627.2441999999999,392.6495,2306.7374,252.9855,367.4008,2553.8876,1592.9595,766.4959,4322.9658,4312.253299999999,1671.4836,747.4798000000001,460.83799999999997,768.3611,231.5475,106.4171,246.23139999999995,76974.8165,0.0,24018.919,103.38210000000001,0.0,0.0,465.2417,126255.0
`P4,1155.0,1583.0,3761.0,3299.0,4247.0,2572.0,3297.0,2280.0,3698.0,777.0,7304.0,20609.0,4237.0,2293.0,1878.0,935.0,2633.0,225.0,1538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68321.0
`P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
`P6,2201.0,19156.0,315602.0,67.0,52.0,203.0,0.0,17436.0,15895.0,11123.0,3894.0,4691.0,12086.0,3725.0,6.0,429.0,1233.0,2485.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,10977.0,421769.0
`T3,99706.0,309564.0,715146.0,120393.0,481953.0,140623.0,134413.0,111395.0,220059.0,116951.0,266438.0,327733.0,275678.0,111491.0,167186.0,135283.0,197181.0,44357.0,67010.0,1.079503e6,371175.0,352260.0,100701.0,0.0,0.0,470810.0,6.417009e6
